fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,officialURL,screen_name,GroupShort,screen_name_lower
Elissavet VOZEMBERG-VRIONIDI,Greece,Group of the European People's Party (Christian Democrats),125065,Nea Demokratia,https://twitter.com/vozemberg,https://www.europarl.europa.eu/meps/en/125065,vozemberg,EPP,vozemberg
Veronika VRECIONOVÁ,Czechia,European Conservatives and Reformists Group,197552,Občanská demokratická strana,NA,https://www.europarl.europa.eu/meps/en/197552,NA,ECR,NA
Lucia VUOLO,Italy,Identity and Democracy Group,197798,Lega,NA,https://www.europarl.europa.eu/meps/en/197798,NA,ID,NA
Mick WALLACE,Ireland,Confederal Group of the European United Left - Nordic Green Left,197817,Independents for change,https://twitter.com/wallacemick,https://www.europarl.europa.eu/meps/en/197817,wallacemick,GUE-NGL,wallacemick
Maria WALSH,Ireland,Group of the European People's Party (Christian Democrats),197863,Fine Gael Party,https://twitter.com/mariawalsheu,https://www.europarl.europa.eu/meps/en/197863,mariawalsheu,EPP,mariawalsheu
Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),197429,Christlich Demokratische Union Deutschlands,https://twitter.com/marionwalsmann,https://www.europarl.europa.eu/meps/en/197429,marionwalsmann,EPP,marionwalsmann
Jörgen WARBORN,Sweden,Group of the European People's Party (Christian Democrats),197405,Moderaterna,https://twitter.com/jorgenwarborn,https://www.europarl.europa.eu/meps/en/197405,jorgenwarborn,EPP,jorgenwarborn
Julie WARD,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124963,Labour Party,https://twitter.com/julie4nw,https://www.europarl.europa.eu/meps/en/124963,julie4nw,S&D,julie4nw
Witold Jan WASZCZYKOWSKI,Poland,European Conservatives and Reformists Group,197566,Prawo i Sprawiedliwość,https://twitter.com/WaszczykowskiW,https://www.europarl.europa.eu/meps/en/197566,WaszczykowskiW,ECR,waszczykowskiw
Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich-Soziale Union in Bayern e.V.,https://twitter.com/ManfredWeber,https://www.europarl.europa.eu/meps/en/28229,ManfredWeber,EPP,manfredweber
Charlie WEIMERS,Sweden,European Conservatives and Reformists Group,123562,Sverigedemokraterna,https://twitter.com/weimers,https://www.europarl.europa.eu/meps/en/123562,weimers,ECR,weimers
Pernille WEISS,Denmark,Group of the European People's Party (Christian Democrats),197515,Det Konservative Folkeparti,https://twitter.com/WeissPernille,https://www.europarl.europa.eu/meps/en/197515,WeissPernille,EPP,weisspernille
James WELLS,United Kingdom,Non-attached Members,197757,The Brexit Party,https://twitter.com/jamesfwells,https://www.europarl.europa.eu/meps/en/197757,jamesfwells,"NA",jamesfwells
Right Honourable Ann WIDDECOMBE,United Kingdom,Non-attached Members,197744,The Brexit Party,NA,https://www.europarl.europa.eu/meps/en/197744,NA,"NA",NA
Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),2323,Christlich Demokratische Union Deutschlands,NA,https://www.europarl.europa.eu/meps/en/2323,NA,EPP,NA
Sarah WIENER,Austria,Group of the Greens/European Free Alliance,197675,Die Grünen - Die Grüne Alternative,NA,https://www.europarl.europa.eu/meps/en/197675,NA,Greens–EFA,NA
Michal WIEZIK,Slovakia,Group of the European People's Party (Christian Democrats),197769,Independent,NA,https://www.europarl.europa.eu/meps/en/197769,NA,EPP,NA
Iuliu WINKLER,Romania,Group of the European People's Party (Christian Democrats),39725,Uniunea Democrată Maghiară din România,NA,https://www.europarl.europa.eu/meps/en/39725,NA,EPP,NA
Angelika WINZIG,Austria,Group of the European People's Party (Christian Democrats),197652,Österreichische Volkspartei,https://twitter.com/angelikawinzig,https://www.europarl.europa.eu/meps/en/197652,angelikawinzig,EPP,angelikawinzig
Isabel WISELER-LIMA,Luxembourg,Group of the European People's Party (Christian Democrats),197421,Parti chrétien social luxembourgeois,https://twitter.com/iwiseler,https://www.europarl.europa.eu/meps/en/197421,iwiseler,EPP,iwiseler
Jadwiga WIŚNIEWSKA,Poland,European Conservatives and Reformists Group,124877,Prawo i Sprawiedliwość,https://twitter.com/j_wisniewska,https://www.europarl.europa.eu/meps/en/124877,j_wisniewska,ECR,j_wisniewska
Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands,https://twitter.com/woelken,https://www.europarl.europa.eu/meps/en/185619,woelken,S&D,woelken
Lara WOLTERS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198411,Partij van de Arbeid,NA,https://www.europarl.europa.eu/meps/en/198411,NA,S&D,NA
Salima YENBOU,France,Group of the Greens/European Free Alliance,197511,Europe Écologie,NA,https://www.europarl.europa.eu/meps/en/197511,NA,Greens–EFA,NA
Stéphanie YON-COURTIN,France,Renew Europe Group,197581,-,https://twitter.com/s_yoncourtin,https://www.europarl.europa.eu/meps/en/197581,s_yoncourtin,RE,s_yoncourtin
Elena YONCHEVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197842,Bulgarian Socialist Party,NA,https://www.europarl.europa.eu/meps/en/197842,NA,S&D,NA
Chrysoula ZACHAROPOULOU,France,Renew Europe Group,197499,La République en marche,NA,https://www.europarl.europa.eu/meps/en/197499,NA,RE,NA
Theodoros ZAGORAKIS,Greece,Group of the European People's Party (Christian Democrats),125067,Nea Demokratia,NA,https://www.europarl.europa.eu/meps/en/125067,NA,EPP,NA
Jan ZAHRADIL,Czechia,European Conservatives and Reformists Group,23712,Občanská demokratická strana,https://twitter.com/ZahradilJan,https://www.europarl.europa.eu/meps/en/23712,ZahradilJan,ECR,zahradiljan
Anna ZALEWSKA,Poland,European Conservatives and Reformists Group,197572,Prawo i Sprawiedliwość,NA,https://www.europarl.europa.eu/meps/en/197572,NA,ECR,NA
Stefania ZAMBELLI,Italy,Identity and Democracy Group,197586,Lega,NA,https://www.europarl.europa.eu/meps/en/197586,NA,ID,NA
Marco ZANNI,Italy,Identity and Democracy Group,124780,Lega,https://twitter.com/Marcozanni86,https://www.europarl.europa.eu/meps/en/124780,Marcozanni86,ID,marcozanni86
Javier ZARZALEJOS,Spain,Group of the European People's Party (Christian Democrats),197606,Partido Popular,NA,https://www.europarl.europa.eu/meps/en/197606,NA,EPP,NA
Tatjana ŽDANOKA,Latvia,Group of the Greens/European Free Alliance,28619,Latvijas Krievu savienība,https://twitter.com/Tatjana_Zdanoka,https://www.europarl.europa.eu/meps/en/28619,Tatjana_Zdanoka,Greens–EFA,tatjana_zdanoka
Tomáš ZDECHOVSKÝ,Czechia,Group of the European People's Party (Christian Democrats),124713,Křesťanská a demokratická unie - Československá strana lidová,https://twitter.com/TomZdechovsky,https://www.europarl.europa.eu/meps/en/124713,TomZdechovsky,EPP,tomzdechovsky
Roberts ZĪLE,Latvia,European Conservatives and Reformists Group,28615,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",NA,https://www.europarl.europa.eu/meps/en/28615,NA,ECR,NA
Bernhard ZIMNIOK,Germany,Identity and Democracy Group,197489,Alternative für Deutschland,NA,https://www.europarl.europa.eu/meps/en/197489,NA,ID,NA
Kosma ZŁOTOWSKI,Poland,European Conservatives and Reformists Group,124884,Prawo i Sprawiedliwość,https://twitter.com/KosmaZlotowski,https://www.europarl.europa.eu/meps/en/124884,KosmaZlotowski,ECR,kosmazlotowski
Juan Ignacio ZOIDO ÁLVAREZ,Spain,Group of the European People's Party (Christian Democrats),197621,Partido Popular,NA,https://www.europarl.europa.eu/meps/en/197621,NA,EPP,NA
Carlos ZORRINHO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124739,Partido Socialista,https://twitter.com/czorrinho,https://www.europarl.europa.eu/meps/en/124739,czorrinho,S&D,czorrinho
Željana ZOVKO,Croatia,Group of the European People's Party (Christian Democrats),185341,Hrvatska demokratska zajednica,https://twitter.com/ZovkoEU,https://www.europarl.europa.eu/meps/en/185341,ZovkoEU,EPP,zovkoeu
Marco ZULLO,Italy,Non-attached Members,125237,Movimento 5 Stelle,NA,https://www.europarl.europa.eu/meps/en/125237,NA,"NA",NA
Milan ZVER,Slovenia,Group of the European People's Party (Christian Democrats),96933,Slovenska demokratska stranka,https://twitter.com/MilanZver,https://www.europarl.europa.eu/meps/en/96933,MilanZver,EPP,milanzver
